Razón Social,Gpo de Cliente,ClaseDoc.,Num.Factura,Sector,Canal,Fecha.Doc,Zona.Vtas,Almacen,Denominacion Material,Cantidad UMV,UM.Vtas,Cantidad UMB,UM.Base,Prec.Unitario,Monto Neto,IVA,Importe Final,Doc.Comercial,Cond.Pago,Fec.Venc.,Moneda.Doc.,Status de Anulacion,Doc.Anulac,Grp.Vend,Vendedor,Referencia,Pedido.Vta,Jerarquía 1,Jerarquía 2,Jerarquía 3,UM.Peso,Peso.Fact,Peso.Total,Um.PesoGen,Ramo,Gr.Material,Gr.Articulo,Tipo.Cambio,Mes,Ejercicio,Prec.Unitario 2,Monto Neto 2,IVA 2,Importe Final 2,Conc.Busq,Codigo_Mat,Listas_precios,,Cod_cliente,,Ind_retcl,Ind_auto_retcl,fechahora,CodMot,Tx Motivo,CodVend,cod_gpo_cliente,cod_clase_doc,cod_sector,cod_canal,cod_zona_ventas,cod_doc_comercial,cod_grp_vend,cod_ramo,cod_gr_material,cod_gr_articulo,cod_lista_precio,cod_tx_motivo,cod_cliente_fk,codigo_mat_fk,cod_vendedor_fk,cod_condicion_pago_fk,cod_moneda_fk,dim_cliente_id,dim_producto_id,dim_vendedor_id,dim_condicion_pago_id,dim_moneda_id,dim_gpo_cliente_id,dim_clase_doc_id,dim_sector_id,dim_canal_id,dim_zona_ventas_id,dim_doc_comercial_id,dim_grp_vend_id,dim_ramo_id,dim_gr_material_id,dim_gr_articulo_id,dim_lista_precio_id,dim_tx_motivo_id,batch_id,line_hash,quality_flags
"CENTRAL MADEIRENSE, C.A",Cadenas,Fact. Nac. Pharsana,6000123406,Cuidado Personal,Venta Directa,20250513,Zona Metropolitana,3000,CHICCO MOTAS DE ALGODON 100P,10,CS,120,PAQ,"4310,64","43106,4","6897,02","50003,42",Factura,Crédito 30 Días,20250612,VED,NA,,GV Ger. Reg. CClave,BETTINA Y. CALDERON,00-0606450,1002056423,Chicco,100,Original,KG,"10,512",,"10,512",Cadena Nacional,PH-Motas De Algodón,ALGODONES PT,"93,0623",5,2025,"46,32","463,2","74,11","537,31",CMADEIRENS,50000010,Detal,,10000016,30,1,X,02.07.2025 - 08:40:06,,,100140,GPC_E047C60D89,CLD_46DF47F1B9,SEC_37A53DB31E,CAN_0C1F625266,ZVT_98CB02604A,DCO_4509257306,GRV_3795FEC1B0,RAM_E969CD999B,GRM_B5ACEE8C50,GRA_3E0276107A,LPR_F3F5033F73,TXM_UNKNOWN,10000016,50000010,100140,NT30,VED,17,9,3,6,2,23,1,2,1,10,1,15,39,6,4,11,1,demo_ids_20260218,264319d933434ccc1c53ea858060bb8d,
"CENTRAL MADEIRENSE, C.A",Cadenas,Fact. Nac. Pharsana,6000123406,Absorbentes,Venta Directa,20250513,Zona Metropolitana,3000,FRIENDS PD REGULAR S/P (12X60),9,PAK,108,PAQ,"3216,24","28946,16","4631,39","33577,55",Factura,Crédito 30 Días,20250612,VED,NA,,GV Ger. Reg. CClave,BETTINA Y. CALDERON,00-0606450,1002056423,Friends,60,Regular,KG,16200,,16200,Cadena Nacional,PH-Protector Diario,ABSORBENTES FEMENINA,"93,0623",5,2025,"34,56","311,04","49,77","360,81",CMADEIRENS,50001107,Detal,,10000016,30,1,X,02.07.2025 - 08:40:06,,,100140,GPC_E047C60D89,CLD_46DF47F1B9,SEC_05D49D207B,CAN_0C1F625266,ZVT_98CB02604A,DCO_4509257306,GRV_3795FEC1B0,RAM_E969CD999B,GRM_00CED7E6A7,GRA_E2CFA19CA7,LPR_F3F5033F73,TXM_UNKNOWN,10000016,50001107,100140,NT30,VED,17,10,3,6,2,23,1,1,1,10,1,15,39,7,5,11,1,demo_ids_20260218,06ac875e07b411e8c88b8592b953bb62,
"CENTRAL MADEIRENSE, C.A",Cadenas,Fact. Nac. Pharsana,6000123406,Cuidado Personal,Venta Directa,20250513,Zona Metropolitana,3000,CHICCO COTONCITO 60 PZA,16,CS,768,PAQ,"4958,4","79334,4","12693,5","92027,9",Factura,Crédito 30 Días,20250612,VED,NA,,GV Ger. Reg. CClave,BETTINA Y. CALDERON,00-0606450,1002056423,Chicco,60,Original,KG,"9,984",,"9,984",Cadena Nacional,PH-Hisopos,ALGODONES PT,"93,0623",5,2025,"53,28","852,49","136,4","988,88",CMADEIRENS,50001024,Detal,,10000016,30,1,X,02.07.2025 - 08:40:06,,,100140,GPC_E047C60D89,CLD_46DF47F1B9,SEC_37A53DB31E,CAN_0C1F625266,ZVT_98CB02604A,DCO_4509257306,GRV_3795FEC1B0,RAM_E969CD999B,GRM_5BE241158E,GRA_3E0276107A,LPR_F3F5033F73,TXM_UNKNOWN,10000016,50001024,100140,NT30,VED,17,11,3,6,2,23,1,2,1,10,1,15,39,8,4,11,1,demo_ids_20260218,55a5afb19d24cd9204fa8ff034ab4d18,
"CENTRAL MADEIRENSE, C.A",Cadenas,N/C FI Pharsana,6200039354,Común,Venta Directa,20250530,Zona Metropolitana,,NC DSCTO 3% CENTRALIZACION,0,,0,,0,"-1465,71","-234,51","-1700,22",Abono,Crédito 30 Días,20250629,VED,NA,,GV Ger. Reg. CClave,BETTINA Y. CALDERON,00-0608073,1013031668,Descuentos,,,KG,0,,0,Cadena Nacional,Descuentos,,"96,8577",5,2025,0,"-15,13","-2,42","-17,55",CMADEIRENS,91000049,Detal,,10000016,30,1,X,02.07.2025 - 08:40:06,Z52,Dcto Promocional No Reflejado En Factura,100140,GPC_E047C60D89,CLD_E9F8E5B9D9,SEC_1D17C54FE2,CAN_0C1F625266,ZVT_98CB02604A,DCO_6FB064483D,GRV_3795FEC1B0,RAM_E969CD999B,GRM_4B9A43F8FA,GRA_UNKNOWN,LPR_F3F5033F73,TXM_E60BECE033,10000016,91000049,100140,NT30,VED,17,12,3,6,2,23,2,3,1,10,2,15,39,9,6,11,2,demo_ids_20260218,918a860cf28343937d59ce7c01c06e65,
"CENTRAL MADEIRENSE, C.A",Cadenas,N/C FI Pharsana,6200039355,Común,Venta Directa,20250530,Zona Metropolitana,,NC DSCTO 3% CENTRALIZACION,0,,0,,0,"-544,46","-87,11","-631,57",Abono,Crédito 30 Días,20250629,VED,NA,,GV Ger. Reg. CClave,BETTINA Y. CALDERON,00-0608074,1013031669,Descuentos,,,KG,0,,0,Cadena Nacional,Descuentos,,"96,8577",5,2025,0,"-5,62","-0,9","-6,52",CMADEIRENS,91000049,Detal,,10000016,30,1,X,02.07.2025 - 08:40:06,Z52,Dcto Promocional No Reflejado En Factura,100140,GPC_E047C60D89,CLD_E9F8E5B9D9,SEC_1D17C54FE2,CAN_0C1F625266,ZVT_98CB02604A,DCO_6FB064483D,GRV_3795FEC1B0,RAM_E969CD999B,GRM_4B9A43F8FA,GRA_UNKNOWN,LPR_F3F5033F73,TXM_E60BECE033,10000016,91000049,100140,NT30,VED,17,12,3,6,2,23,2,3,1,10,2,15,39,9,6,11,2,demo_ids_20260218,ba02e6c5a5f000227d254e492a5bac0f,
"CENTRAL MADEIRENSE, C.A",Cadenas,N/C FI Pharsana,6200039356,Común,Venta Directa,20250530,Zona Metropolitana,,NC DSCTO 3% CENTRALIZACION,0,,0,,0,"-7232,69","-1157,23","-8389,92",Abono,Crédito 30 Días,20250629,VED,NA,,GV Ger. Reg. CClave,BETTINA Y. CALDERON,00-0608075,1013031670,Descuentos,,,KG,0,,0,Cadena Nacional,Descuentos,,"96,8577",5,2025,0,"-74,67","-11,95","-86,62",CMADEIRENS,91000049,Detal,,10000016,30,1,X,02.07.2025 - 08:40:06,Z52,Dcto Promocional No Reflejado En Factura,100140,GPC_E047C60D89,CLD_E9F8E5B9D9,SEC_1D17C54FE2,CAN_0C1F625266,ZVT_98CB02604A,DCO_6FB064483D,GRV_3795FEC1B0,RAM_E969CD999B,GRM_4B9A43F8FA,GRA_UNKNOWN,LPR_F3F5033F73,TXM_E60BECE033,10000016,91000049,100140,NT30,VED,17,12,3,6,2,23,2,3,1,10,2,15,39,9,6,11,2,demo_ids_20260218,ba312a727428321943774483b1af61bf,
"CENTRAL MADEIRENSE, C.A",Cadenas,N/C FI Pharsana,6200039357,Común,Venta Directa,20250530,Zona Metropolitana,,NC DIFERENCIA EN PRECIO F 6000121806,0,,0,,0,"-11174,05","-1787,85","-12961,9",Abono,Crédito 30 Días,20250629,VED,NA,,GV Ger. Reg. CClave,BETTINA Y. CALDERON,00-0608076,1013031690,Descuentos,,,KG,0,,0,Cadena Nacional,Descuentos,,"96,8577",5,2025,0,"-115,37","-18,46","-133,82",CMADEIRENS,91000049,Detal,,10000016,30,1,X,02.07.2025 - 08:40:06,Z52,Dcto Promocional No Reflejado En Factura,100140,GPC_E047C60D89,CLD_E9F8E5B9D9,SEC_1D17C54FE2,CAN_0C1F625266,ZVT_98CB02604A,DCO_6FB064483D,GRV_3795FEC1B0,RAM_E969CD999B,GRM_4B9A43F8FA,GRA_UNKNOWN,LPR_F3F5033F73,TXM_E60BECE033,10000016,91000049,100140,NT30,VED,17,12,3,6,2,23,2,3,1,10,2,15,39,9,6,11,2,demo_ids_20260218,481e2a7643dcaa258f3700521dc6845e,
COMERCIAL CONTINENTAL C A,Detal,Fact. Nac. Pharsana,6000124730,Absorbentes,Venta Directa,20250530,Zona Centro,3000,SIEMPRE SECO BASICO M (6X6),1,PAK,6,PAQ,"34,08","34,08","5,45","39,53",Factura,Crédito 15 Días,20250614,USD,NA,,GV Ger. Reg. Ce.LLan,MERY S. MOSES,00-0608220,1002057260,Siempre Seco,6,Basico,KG,3024,,3024,Perfumeria,PH-Protector Incont.,INCONTINENCIA,0,5,2025,"34,08","34,08","5,45","39,53",,50000639,Detal,,10000022,30,1,X,02.07.2025 - 08:40:06,,,100082,GPC_C2A171C424,CLD_46DF47F1B9,SEC_05D49D207B,CAN_0C1F625266,ZVT_F39774DD76,DCO_4509257306,GRV_93B3980EFF,RAM_9F7B67ADC0,GRM_EA9690A4B4,GRA_55B30A1B7A,LPR_F3F5033F73,TXM_UNKNOWN,10000022,50000639,100082,NT15,USD,23,13,4,3,1,22,1,1,1,11,1,16,38,4,1,11,1,demo_ids_20260218,fb7f9cd4016bdc192fb68e789876e6d5,
COMERCIAL CONTINENTAL C A,Detal,Fact. Nac. Pharsana,6000124730,Absorbentes,Venta Directa,20250530,Zona Centro,3000,SECUREZZA PANTS L (8X10),1,PAK,8,PAQ,"87,68","87,68","14,02","101,7",Factura,Crédito 15 Días,20250614,USD,NA,,GV Ger. Reg. Ce.LLan,MERY S. MOSES,00-0608220,1002057260,Securezza,10,Pants,KG,4032,,4032,Perfumeria,PH-Pañal Pull Up,INCONTINENCIA,0,5,2025,"87,68","87,68","14,02","101,7",,50001097,Detal,,10000022,30,1,X,02.07.2025 - 08:40:06,,,100082,GPC_C2A171C424,CLD_46DF47F1B9,SEC_05D49D207B,CAN_0C1F625266,ZVT_F39774DD76,DCO_4509257306,GRV_93B3980EFF,RAM_9F7B67ADC0,GRM_22E3CA5C97,GRA_55B30A1B7A,LPR_F3F5033F73,TXM_UNKNOWN,10000022,50001097,100082,NT15,USD,23,14,4,3,1,22,1,1,1,11,1,16,38,10,1,11,1,demo_ids_20260218,e5499ff1566b07209f4ff732221e2319,
COMERCIAL CONTINENTAL C A,Detal,Fact. Nac. Pharsana,6000124730,Absorbentes,Venta Directa,20250530,Zona Centro,3000,SECUREZZA COMFORT M REG (6x6),1,PAK,6,PAQ,"46,32","46,32","7,41","53,73",Factura,Crédito 15 Días,20250614,USD,NA,,GV Ger. Reg. Ce.LLan,MERY S. MOSES,00-0608220,1002057260,Securezza,6,Classic,KG,3024,,3024,Perfumeria,PH-Protector Incont.,INCONTINENCIA,0,5,2025,"46,32","46,32","7,41","53,73",,50000921,Detal,,10000022,30,1,X,02.07.2025 - 08:40:06,,,100082,GPC_C2A171C424,CLD_46DF47F1B9,SEC_05D49D207B,CAN_0C1F625266,ZVT_F39774DD76,DCO_4509257306,GRV_93B3980EFF,RAM_9F7B67ADC0,GRM_EA9690A4B4,GRA_55B30A1B7A,LPR_F3F5033F73,TXM_UNKNOWN,10000022,50000921,100082,NT15,USD,23,15,4,3,1,22,1,1,1,11,1,16,38,4,1,11,1,demo_ids_20260218,adf03a59c1f17dad2efac5434e545898,
COMERCIAL CONTINENTAL C A,Detal,Fact. Nac. Pharsana,6000124730,Absorbentes,Venta Directa,20250530,Zona Centro,3000,FRIENDS PD REGULAR S/P (12X40),1,PAK,12,PAQ,"33,72","33,72","5,4","39,12",Factura,Crédito 15 Días,20250614,USD,NA,,GV Ger. Reg. Ce.LLan,MERY S. MOSES,00-0608220,1002057260,Friends,40,Regular,KG,1200,,1200,Perfumeria,PH-Protector Diario,ABSORBENTES FEMENINA,0,5,2025,"33,72","33,72","5,4","39,12",,50001106,Detal,,10000022,30,1,X,02.07.2025 - 08:40:06,,,100082,GPC_C2A171C424,CLD_46DF47F1B9,SEC_05D49D207B,CAN_0C1F625266,ZVT_F39774DD76,DCO_4509257306,GRV_93B3980EFF,RAM_9F7B67ADC0,GRM_00CED7E6A7,GRA_E2CFA19CA7,LPR_F3F5033F73,TXM_UNKNOWN,10000022,50001106,100082,NT15,USD,23,16,4,3,1,22,1,1,1,11,1,16,38,7,5,11,1,demo_ids_20260218,279216351445be7cd5b5474a087848e2,
COMERCIAL CONTINENTAL C A,Detal,Fact. Nac. Pharsana,6000124730,Cuidado Personal,Venta Directa,20250530,Zona Centro,3000,AMY COLONIA 220CC OVAL,1,CS,10,ST,"43,1","43,1","6,9",50,Factura,Crédito 15 Días,20250614,USD,NA,,GV Ger. Reg. Ce.LLan,MERY S. MOSES,00-0608220,1002057260,Amy,220,Original,KG,2,,2,Perfumeria,PH-Colonia,HIGIENE PERSONAL,0,5,2025,"43,1","43,1","6,9",50,,50000902,Detal,,10000022,30,1,X,02.07.2025 - 08:40:06,,,100082,GPC_C2A171C424,CLD_46DF47F1B9,SEC_37A53DB31E,CAN_0C1F625266,ZVT_F39774DD76,DCO_4509257306,GRV_93B3980EFF,RAM_9F7B67ADC0,GRM_0C22511549,GRA_840BF734C1,LPR_F3F5033F73,TXM_UNKNOWN,10000022,50000902,100082,NT15,USD,23,17,4,3,1,22,1,2,1,11,1,16,38,2,2,11,1,demo_ids_20260218,f10e9e4121c51ad2d4101d80f4b09ed5,
"FAMALARA, C.A.",Detal,Fact. Nac. Pharsana,6000124594,Absorbentes,Venta Directa,20250527,Zona Centro,3000,SECUREZZA POST PARTO  (12X15),2,PAK,24,PAQ,"30,72","61,44","9,83","71,27",Factura,Crédito 15 Días,20250611,USD,NA,,GV Ger. Reg. Ce.LLan,MERY S. MOSES,00-0607882,1002056920,Securezza,15,Anatómica,KG,4200,,4200,Farmacia,PH-Toalla Post-Parto,INCONTINENCIA,0,5,2025,"30,72","61,44","9,83","71,27",,50001021,Detal,,10000025,30,1,X,02.07.2025 - 08:40:06,,,100082,GPC_C2A171C424,CLD_46DF47F1B9,SEC_05D49D207B,CAN_0C1F625266,ZVT_F39774DD76,DCO_4509257306,GRV_93B3980EFF,RAM_9EE6AAAA70,GRM_401CA6A5C7,GRA_55B30A1B7A,LPR_F3F5033F73,TXM_UNKNOWN,10000025,50001021,100082,NT15,USD,26,2,4,3,1,22,1,1,1,11,1,16,40,1,1,11,1,demo_ids_20260218,063f7412e3f5477da07d03a4ccbb38d7,
